Year,Nomination_Date,Polling_Date,Constituency,GRC/SMC,Number_Of_Electors,PAP_Votes,PAP_Vote_Share (%),Opposition_Votes,Opposition_Vote_Share (%),Opposition_Party,PAP_Candidates,Opposition_Candidates
1988,1988-08-24,1988-09-03,Serangoon Gardens,SMC,24831,16234,74.17,5654,25.83,Ind,Lau Teik Soon,Harry Baptist
1988,1988-08-24,1988-09-03,Siglap,SMC,18650,12101,73.73,4311,26.27,WP,Abdullah Bin Tarmugi,Chong Tung Shang
1988,1988-08-24,1988-09-03,Tampines,GRC,65148,37216,61,23796,39,NSP,"Mah Bow Tan, Aline Wong, Yatiman Yusof","Abdul Malik Bin Ali, Chan Yeng Cheong, Lim Ah Yong"
1988,1988-08-24,1988-09-03,Tanglin,SMC,17497,-,-,-,-,-,Lew Syn Pau,UNCONTESTED
1988,1988-08-24,1988-09-03,Tanjong Pagar,SMC,19041,14043,81.6,3167,18.4,Ind,Lee Kuan Yew,M G Guru
1988,1988-08-24,1988-09-03,Teck Ghee,SMC,15510,11512,79.13,3037,20.87,Ind,Lee Hsien Loong,Patrick Leong S C
1988,1988-08-24,1988-09-03,Telok Blangah,SMC,18609,11160,64.21,6220,35.79,WP,Koh Lam Son,Tan Soo Phuan
1988,1988-08-24,1988-09-03,Thomson,SMC,34886,21514,67.01,10590,32.99,SDP,Leong Horn Kee,Ng Teck Siong
1988,1988-08-24,1988-09-03,Tiong Bahru,GRC,58898,31732,57.84,23132,42.16,WP,"Chng Hee Kok, Ch'ng Jit Koon, S Vasoo","Lim Lye Soon, Low Thia Khiang, Gopalan Nair"
1988,1988-08-24,1988-09-03,Toa Payoh,GRC,49243,-,-,-,-,-,"Davinder Singh, Ho Tat Kin, Wong Kan Seng",UNCONTESTED
1988,1988-08-24,1988-09-03,Ulu Pandan,SMC,23587,14436,69.07,6466,30.93,SDP,Dixie Tan-Lee Mo Chun,George Sita
1988,1988-08-24,1988-09-03,Whampoa,SMC,13819,7522,59.47,5126,40.53,NSP,Augustine Tan Hui Heng,Ken Sunn
1988,1988-08-24,1988-09-03,Yio Chu Kang,SMC,15991,10996,73.67,3931,26.33,NSP,Lau Ping Sum,Rasiah Thiagarajah
1988,1988-08-24,1988-09-03,Yuhua,SMC,19190,11497,62.96,6765,37.04,SDP,Foo Yee Shoon,Toh Kim Kiat
